CASEID,YEAR,SAVING,MMDA
1,1989,0,0
2,1989,0,0
3,1989,0,0
4,1989,0,0
5,1989,0,0
6,1989,0,0
7,1989,0,0
8,1989,0,0
9,1989,0,0
10,1989,0,0
11,1989,3615.14,0
12,1989,3615.14,0
13,1989,3615.14,0
14,1989,3615.14,0
15,1989,3615.14,0
16,1989,542.27,0
17,1989,542.27,0
18,1989,542.27,0
19,1989,542.27,0
20,1989,542.27,0
21,1989,216.91,0
22,1989,216.91,0
23,1989,216.91,0
24,1989,216.91,0
25,1989,216.91,0
26,1989,903.79,0
27,1989,903.79,0
28,1989,903.79,0
29,1989,903.79,0
30,1989,903.79,0
31,1989,994.16,0
32,1989,994.16,0
33,1989,994.16,0
34,1989,994.16,0
35,1989,994.16,0
36,1989,542.27,0
37,1989,542.27,0
38,1989,542.27,0
39,1989,542.27,0
40,1989,542.27,0
41,1989,0,0
42,1989,0,0
43,1989,0,0
44,1989,0,0
45,1989,0,0
46,1989,0,0
47,1989,0,0
48,1989,0,0
49,1989,0,0
50,1989,0,0
51,1989,0,0
52,1989,0,0
53,1989,0,0
54,1989,0,0
55,1989,0,0
56,1989,5422.71,0
57,1989,5422.71,0
58,1989,5422.71,0
59,1989,5422.71,0
60,1989,5422.71,0
61,1989,1626.81,0
62,1989,1626.81,0
63,1989,1626.81,0
64,1989,1626.81,0
65,1989,1626.81,0
66,1989,1662.97,0
67,1989,1626.81,0
68,1989,939.94,0
69,1989,1717.19,0
70,1989,1446.06,0
71,1989,0,0
72,1989,0,0
73,1989,0,0
74,1989,0,0
75,1989,0,0
76,1989,0,0
77,1989,0,0
78,1989,0,0
79,1989,0,0
80,1989,0,0
81,1989,271.14,0
82,1989,198.83,0
83,1989,90.38,0
84,1989,90.38,0
85,1989,958.01,0
86,1989,0,0
87,1989,0,0
88,1989,0,0
89,1989,0,0
90,1989,0,0
91,1989,0,0
92,1989,0,0
93,1989,0,0
94,1989,0,0
95,1989,0,0
96,1989,0,0
97,1989,0,0
98,1989,0,0
99,1989,0,0
100,1989,0,0
101,1989,3615.14,7230.28
102,1989,34343.85,18075.71
103,1989,16268.14,1807.57
104,1989,65072.56,9037.85
105,1989,1265.3,1897.95
106,1989,0,3615.14
107,1989,0,3615.14
108,1989,0,3615.14
109,1989,0,3615.14
110,1989,0,3615.14
111,1989,0,0
112,1989,0,0
113,1989,0,0
114,1989,0,0
115,1989,0,0
116,1989,0,0
117,1989,0,0
118,1989,0,0
119,1989,0,0
120,1989,0,0
121,1989,0,0
122,1989,0,0
123,1989,0,0
124,1989,0,0
125,1989,0,0
126,1989,0,19883.28
127,1989,0,19883.28
128,1989,0,19883.28
129,1989,0,19883.28
130,1989,0,19883.28
131,1989,180.76,0
132,1989,180.76,0
133,1989,180.76,0
134,1989,180.76,0
135,1989,180.76,0
136,1989,506.12,0
137,1989,506.12,0
138,1989,506.12,0
139,1989,506.12,0
140,1989,506.12,0
141,1989,0,0
142,1989,0,0
143,1989,0,0
144,1989,0,0
145,1989,0,0
146,1989,0,0
147,1989,0,0
148,1989,0,0
149,1989,0,0
150,1989,0,0
151,1989,0,0
152,1989,0,0
153,1989,0,0
154,1989,0,0
155,1989,0,0
156,1989,0,0
157,1989,0,0
158,1989,0,0
159,1989,0,0
160,1989,0,0
161,1989,0,0
162,1989,0,0
163,1989,0,0
164,1989,0,0
165,1989,0,0
166,1989,903.79,0
167,1989,903.79,0
168,1989,903.79,0
169,1989,903.79,0
170,1989,903.79,0
171,1989,0,0
172,1989,0,0
173,1989,0,0
174,1989,0,0
175,1989,0,0
176,1989,0,0
177,1989,0,0
178,1989,0,0
179,1989,0,0
180,1989,0,0
181,1989,1807.57,0
182,1989,1807.57,0
183,1989,1807.57,0
184,1989,1807.57,0
185,1989,1807.57,0
186,1989,0,0
187,1989,0,0
188,1989,0,0
189,1989,0,0
190,1989,0,0
191,1989,36.15,0
192,1989,36.15,0
193,1989,36.15,0
194,1989,36.15,0
195,1989,36.15,0
196,1989,723.03,0
197,1989,723.03,0
198,1989,723.03,0
199,1989,723.03,0
200,1989,723.03,0
201,1989,0,0
202,1989,0,0
203,1989,0,0
204,1989,0,0
205,1989,0,0
206,1989,0,0
207,1989,0,0
208,1989,0,0
209,1989,0,0
210,1989,0,0
211,1989,0,0
212,1989,0,0
213,1989,0,0
214,1989,0,0
215,1989,0,0
216,1989,0,0
217,1989,0,0
218,1989,0,0
219,1989,0,0
220,1989,0,0
221,1989,0,0
222,1989,0,0
223,1989,0,0
224,1989,0,0
225,1989,0,0
226,1989,16268.14,0
227,1989,16268.14,0
228,1989,16268.14,0
229,1989,16268.14,0
230,1989,16268.14,0
231,1989,5422.71,0
232,1989,5422.71,0
233,1989,12653,0
234,1989,12653,0
235,1989,10845.43,0
236,1989,50611.99,0
237,1989,68687.7,0
238,1989,92186.12,0
239,1989,77725.55,0
240,1989,162681.39,0
